Depth,Vp,Vs
2.236,4.785,2.819
2.24,4.868,2.873
2.245,4.915,2.889
2.25,4.908,2.856
2.256,4.891,2.834
2.264,4.989,2.861
2.271,4.807,2.681
2.277,4.554,2.528
2.283,4.521,2.525
2.287,4.585,2.572
2.291,4.599,2.595
2.295,4.618,2.67
2.304,4.74,2.796
2.307,4.869,2.862
2.316,4.936,2.869
2.32,4.94,2.869
2.328,4.91,2.856
2.332,4.69,2.666
2.345,4.191,2.323
2.349,4.085,2.261
2.352,4.196,2.318
2.359,4.495,2.471
2.363,4.744,2.596
2.37,4.819,2.646
2.376,4.775,2.657
2.381,4.775,2.686
2.385,4.777,2.675
2.392,4.791,2.638
2.4,4.886,2.667
2.405,4.97,2.697
2.409,5.009,2.696
2.414,5.0,2.693
2.421,4.969,2.714
2.426,4.944,2.715
2.434,4.989,2.723
2.44,5.079,2.787
2.445,5.12,2.851
2.449,5.096,2.879
2.454,4.975,2.82
2.462,4.746,2.687
2.47,4.618,2.618
2.474,4.585,2.633
2.481,4.569,2.681
2.485,4.533,2.732
2.495,4.469,2.718
2.501,4.463,2.683
2.508,4.522,2.67
2.516,4.535,2.629
2.519,4.533,2.575
2.526,4.698,2.612
